x,y,class
34.64637778550724,522.1899012546786,Class 1
23.917135732052685,236.60050622179875,Class 1
41.16990876306683,49.75697285140637,Class 1
14.73358722248676,634.4449969183052,Class 1
43.76165737444322,767.6491741053657,Class 1
2.758828719727541,156.23553884141748,Class 1
26.47590182632813,466.86994858881076,Class 1
10.863079763976252,702.4568067056003,Class 1
38.99814141206199,362.29216265680685,Class 1
2.0812602420531903,545.6281493028615,Class 1
48.38919785785299,516.1403070089494,Class 1
20.025251288704567,550.4563541826183,Class 1
49.67252215072841,696.5613342871261,Class 1
3.725462597775003,203.34023127611295,Class 1
27.65929600666796,574.1503986986706,Class 1
10.755675257815012,757.4558010632949,Class 1
13.556634783593486,477.1631572386266,Class 1
16.814007164668915,103.97431627934938,Class 1
0.2230136204195432,18.373484271502782,Class 1
25.52713685714614,114.98964581560926,Class 1
31.421542940620213,526.1770687530784,Class 1
45.63912707135789,674.3367400874387,Class 1
9.355986995906923,309.17410526076515,Class 1
39.32499892259452,456.33868133374636,Class 1
28.080530487931355,227.99688217521964,Class 1
26.063508252283285,628.4105776841441,Class 1
14.36383736843831,435.0048533860925,Class 1
41.35862157259129,506.4139592638884,Class 1
19.44103759018337,642.699558212406,Class 1
2.167404627776748,157.9111080654928,Class 1
35.6853186616749,708.4916271300116,Class 1
21.28237586969513,770.4643139124926,Class 1
15.614892315901136,259.00881377170924,Class 1
36.78982402638333,258.55107315830406,Class 1
16.904118674651453,337.48332961569184,Class 1
25.995812510531586,659.5634637306382,Class 1
42.24901667519982,327.50491979202474,Class 1
32.09926147047355,233.53863187939163,Class 1
47.480042919535784,243.42093310765415,Class 1
43.721462486005066,626.5484175789495,Class 1
15.690824109826451,247.14854655937478,Class 1
38.25047974162823,136.70280510822755,Class 1
12.08993671384127,414.9763192930545,Class 1
9.184456378334405,769.7225660467519,Class 1
45.028964379187784,207.08740035283836,Class 1
0.9891638200224429,450.56709145964584,Class 1
20.76762193723208,355.1963128495487,Class 1
8.819535157645653,469.78220216809865,Class 1
47.267339398883514,88.85516075665495,Class 1
20.183683271338932,723.2329943160228,Class 1
5.543858067438751,115.35165697066381,Class 1
10.495779158993896,428.2945541931922,Class 1
15.230267071819197,73.5054853934293,Class 1
7.640837726350968,664.30880958742,Class 1
4.351991731547517,686.3843006744166,Class 1
45.319170810637026,733.3905778412329,Class 1
40.65080640564393,385.7057445722867,Class 1
45.95894329184251,405.40903857553917,Class 1
1.1238947877179106,607.6242688579806,Class 1
17.020754913773683,467.20347200105084,Class 1
11.956538796276577,238.9228722600996,Class 1
24.872911578952518,369.3458768446403,Class 1
25.64209239473008,182.7858092287558,Class 1
7.401499528061228,641.7239161315343,Class 1
3.475824075333467,334.48479632090715,Class 1
24.57793007416994,124.2845487355912,Class 1
35.53523431741733,549.5408426424732,Class 1
6.236837137322649,570.4770350811766,Class 1
27.06606842999949,742.698743969929,Class 1
1.3829781209542702,735.5254576424385,Class 1
25.512639474814176,746.4836373151666,Class 1
37.08461889711378,416.2372160068264,Class 1
47.14433027793978,185.77504515094586,Class 1
42.49672038236852,758.5558232856501,Class 1
4.390609639020321,272.3717622320156,Class 1
31.757337518653618,688.1382543240081,Class 1
29.298223186406258,571.9443079685454,Class 1
35.2202954839043,523.7248385472025,Class 1
36.522662917194026,38.737977146413805,Class 1
5.147895707652034,129.21337028885355,Class 1
15.897917431297964,687.7093758465764,Class 1
6.07122598734896,437.00434799374676,Class 1
45.159576814326435,6.380427779654152,Class 1
32.426880655599994,224.29738137629752,Class 1
16.430219626188602,484.6116906846894,Class 1
11.111091463148009,162.58040882010613,Class 1
0.12496576856521613,608.1191119338131,Class 1
34.19530745345879,128.38727668697274,Class 1
26.061853775572224,741.5143720265683,Class 1
25.473928254613966,178.26892238091992,Class 1
16.168976933057248,551.855961322002,Class 1
43.71858696050365,759.4787386351007,Class 1
13.76026484627234,417.9042299938608,Class 1
34.43907086470275,95.65952665123217,Class 1
28.162755706171318,795.3791606382592,Class 1
5.948755741526346,468.1774166063268,Class 1
9.308566089380188,17.55841736859507,Class 1
19.44979597124371,10.545758805750616,Class 1
21.406198967739083,17.895583080578348,Class 1
31.638452548664542,43.36034128451472,Class 1
22.44263647382805,249.82552445408518,Class 1
42.81642881922444,696.9974430053516,Class 1
1.1612192301798607,44.61177918520054,Class 1
15.367834823780052,236.15073106478218,Class 1
31.8838375194174,177.05564009575053,Class 1
32.41584710934929,409.34987536433187,Class 1
39.820428748213324,130.26089409542098,Class 1
22.278603761572967,696.6283861955258,Class 1
45.198489951581486,784.4231865606456,Class 1
33.915542793209475,614.793158014586,Class 1
48.213338943619064,507.36430378380106,Class 1
11.076162266406941,105.69125087561756,Class 1
0.974275637081462,233.41218024977292,Class 1
29.867228015908804,571.3533769122697,Class 1
26.979818525117416,678.9576005735379,Class 1
